PREMIO,AÑO,ACTRIZ,OBRA
Tony Award® Best Actress in a Play,2015,Helen Mirren,The Audience
Tony Award® Best Actress in a Play,2014,Audra McDonald,Lady Day at Emerson's Bar & Grill
Tony Award® Best Actress in a Play,2013,Cicely Tyson,The Trip to Bountiful
Tony Award® Best Actress in a Play,2012,Nina Arianda,Venus in Fur
Tony Award® Best Actress in a Play,2011,Frances McDormand,Good People
Tony Award® Best Actress in a Play,2010,Viola Davis,Fences
Tony Award® Best Actress in a Play,2009,Marcia Gay Harden,God of Carnage
Tony Award® Best Actress in a Play,2008,Deanna Dunagan,August: Osage County
Tony Award® Best Actress in a Play,2007,Julie White,The Little Dog Laughed
Tony Award® Best Actress in a Play,2006,Cynthia Nixon,Rabbit Hole 
Tony Award® Best Actress in a Play,2005,Cherry Jones,Doubt
Tony Award® Best Actress in a Play,2004,Phylicia Rashad,A Raisin in the Sun
Tony Award® Best Actress in a Play,2003,Vanessa Redgrave,Long Day's Journey Into Night
Tony Award® Best Actress in a Play,2002,Lindsay Duncan,Private Lives
Tony Award® Best Actress in a Play,2001,María Luisa Parker,Proof
Tony Award® Best Actress in a Play,2000,Jennifer Ehle,The Real Thing
Tony Award® Best Actress in a Play,1999,Judi Dench,Amy's View
Tony Award® Best Actress in a Play,1998,María Mullen,The Beauty Queen of Leenane
Tony Award® Best Actress in a Play,1997,Janet McTeer,A Doll's House
Tony Award® Best Actress in a Play,1996,Zoe Caldwell,Master Class
Tony Award® Best Actress in a Play,1995,Cherry Jones,The Heiress
Tony Award® Best Actress in a Play,1994,Diana Rigg,Medea
Tony Award® Best Actress in a Play,1993,Madeline Kahn,The Sisters Rosensweig
Tony Award® Best Actress in a Play,1992,Glenn Close,Death and the Maiden
Tony Award® Best Actress in a Play,1991,Mercedes Rühl,Lost in Yonkers
Tony Award® Best Actress in a Play,1990,Maggie Smith,Lettice and Lovage
Tony Award® Best Actress in a Play,1989,Pauline Collins,Shirley Valentine
Tony Award® Best Actress in a Play,1988,Joan Allen,Burn This
Tony Award® Best Actress in a Play,1987,Linda Lavin,Broadway Bound
Tony Award® Best Actress in a Play,1986,Lily Tomlin,The Search for Signs of Intelligent Life in the Universe
Tony Award® Best Actress in a Play,1985,Stockard Channing,Joe Egg
Tony Award® Best Actress in a Play,1984,Glenn Close,The Real Thing
Tony Award® Best Actress in a Play,1983,Jessica Tandy,Foxfire
Tony Award® Best Actress in a Play,1982,Zoe Caldwell,Medea
,,,
Tony Award® Best Actress in a Musical,2015,Kelli O'Hara,The King and I
Tony Award® Best Actress in a Musical,2014,Jessie Mueller,Beautiful The Carole King Musical
Tony Award® Best Actress in a Musical,2013,Patina Miller,Pippin
Tony Award® Best Actress in a Musical,2012,Audra McDonald,The Gershwins' Porgy and Bess
Tony Award® Best Actress in a Musical,2011,Sutton Foster,Anything Goes
Tony Award® Best Actress in a Musical,2010,Catherine Zeta-Jones,A Little Night Music
Tony Award® Best Actress in a Musical,2009,Alice Ripley,Next To Normal
Tony Award® Best Actress in a Musical,2008,Patti LuPone,Gypsy
Tony Award® Best Actress in a Musical,2007,Christine Ebersole,Grey Gardens
Tony Award® Best Actress in a Musical,2006,LaChanze,The Color Purple
Tony Award® Best Actress in a Musical,2005,Victoria Clark,The Light in the Piazza
Tony Award® Best Actress in a Musical,2004,Idina Menzel,Wicked
Tony Award® Best Actress in a Musical,2003,Marissa Jaret Winokur,Hairspray
Tony Award® Best Actress in a Musical,2002,Sutton Foster,Thoroughly Modern Millie
Tony Award® Best Actress in a Musical,2001,Christine Ebersole,42nd Street
Tony Award® Best Actress in a Musical,2000,Heather Headley,Aida
Tony Award® Best Actress in a Musical,1999,Bernadette Peters,Annie Get Your Gun
Tony Award® Best Actress in a Musical,1998,Natasha Richardson,Cabaret
Tony Award® Best Actress in a Musical,1997,Bebe Neuwirth,Chicago
Tony Award® Best Actress in a Musical,1996,Donna Murphy,The King and I
Tony Award® Best Actress in a Musical,1995,Glenn Close,Sunset Boulevard
Tony Award® Best Actress in a Musical,1994,Donna Murphy,Passion
Tony Award® Best Actress in a Musical,1993,Chita Rivera,Kiss of the Spider Woman
Tony Award® Best Actress in a Musical,1992,Faith Prince,Guys and Dolls
Tony Award® Best Actress in a Musical,1991,Lea Salonga,Miss Saigon
Tony Award® Best Actress in a Musical,1990,Tyne Daly,Gypsy
Tony Award® Best Actress in a Musical,1989,Ruth Brown,Black and Blue
Tony Award® Best Actress in a Musical,1988,Joanna Gleason,Into the Woods
Tony Award® Best Actress in a Musical,1987,Maryann Plunkett,Me and My Girl
Tony Award® Best Actress in a Musical,1986,Bernadette Peters,Song and Dance
Tony Award® Best Actress in a Musical,1985,,
Tony Award® Best Actress in a Musical,1984,Chita Rivera,The Rink
Tony Award® Best Actress in a Musical,1983,Natalia Makarova,On Your Toes
Tony Award® Best Actress in a Musical,1982,Jennifer Holliday,Dreamgirls
